荆州荆州万达广场店,882661,39.63,37.08
合肥万达国际影城(马鞍山路店),759726,38.50,39.61
柳州万达影城(城中店),936587,37.69,38.34
深圳UA影院(KKMALL店),610647,36.02,53.47
海口万达影城IMAX(海航日月广场旗舰店),884884,29.03,39.14
长春完美世界影城(17.5中东店),865538,38.51,28.58
深圳万达影城(宝安店),542860,37.60,51.33
广州UME国际影城,810569,20.12,39.00
上海海上明珠国际影城(莘庄店),634548,33.63,40.49
重庆万达国际影城(大融城店),935829,33.04,33.19
太原博纳国际影城(茂业天地店),802514,35.49,42.87
秦皇岛大地影院(世纪港湾店),702961,34.59,32.44
北京CGV星星影城(奥体店),638411,34.79,45.21
广州万达国际影城(番禺店),580843,26.36,50.26
济南万达影城(高新店),826521,32.95,39.25
深圳保利国际影城(大中华店),779003,36.09,36.80
成都UME国际影城(建设北路店),860490,30.02,30.30
上海庆春电影城,674950,33.94,39.07
杭州新远国际影城(西湖文化广场店),821472,32.23,42.65
北京红星太平洋电影城(爱琴海购物中心店),567008,28.60,52.94
重庆UME影城(九龙坡店),771401,26.91,33.36
深圳博纳国际影城(华强店),786766,41.76,24.89
武汉CGV影城(金银潭店),708337,38.56,33.24
长春欢乐城国际影城,1138040,59.16,26.08
牟平耀莱成龙国际影城(烟台牟平店),365029,30.28,28.25
南宁民族影城,768440,37.12,43.28
北京幸福蓝海国际影城(北京房山店),655244,32.96,33.97
成都CGV影城(金牛IMAX店),710802,37.56,38.95
无锡滨湖万达影城(IMAX店),935953,38.90,39.44
天津万达影城(河东IMAX店),724501,31.56,38.33
武汉横店电影城(新佳丽店),1008048,37.18,26.94
北京珠影耳东传奇影城,570408,30.59,59.02
长春万达国际影城(宽城店),677986,31.32,38.51
北京CGV星星影城(颐堤港店),588948,36.97,52.47
成都星轶D-BOX巨幕影城(龙泉吾悦广场旗舰店),690808,33.50,34.12
杭州传奇奢华影城(丰潭路店),654385,27.68,43.47
南宁万达影城(安吉万达广场店),555515,25.21,41.13
北京博纳国际影城(方庄店),710515,28.64,39.76
合肥中影国际影城中环店(中环店),734099,41.43,32.84
佛山万达影城IMAX(南海万达广场店),590548,27.15,42.91
上海万达电影城(江桥店),638628,28.70,48.93
哈尔滨万达国际影城(衡山店),595942,39.12,40.09
厦门万达影城(湖里万达广场店),787969,26.49,45.12
佳木斯万达影城(万达广场店),656653,28.82,43.29
西安横店影城(中贸店),909422,39.67,29.70
郑州奥斯卡大上海国际影城,859186,42.40,28.41
